id,value
id_0,38.1022518496
id_1,14.0624668488
id_2,7.92372180886
id_3,18.9785299143
id_4,28.9178402496
id_5,109.869293504
id_6,26.6904387302
id_7,36.8850526937
id_8,38.7392025042
id_9,19.9075862594
id_10,25.4510658821
id_11,39.8759809057
id_12,40.8609376521
id_13,15.6622703067
id_14,26.178008075
id_15,41.95707466
id_16,32.9188608077
id_17,58.1422028876
id_18,21.4817528617
id_19,9.07023092513
id_20,32.0387711816
id_21,29.1607073669
id_22,52.7072592031
id_23,45.2554060327
id_24,18.6074981579
id_25,12.9638308911
id_26,43.9997892092
id_27,34.5178053373
id_28,59.6001773568
id_29,16.9641083099
id_30,15.6257224336
id_31,42.3793273551
id_32,37.3988050919
id_33,27.3559382885
id_34,51.8474771886
id_35,39.6800452796
id_36,16.7012870232
id_37,48.0745427796
id_38,23.1244915087
id_39,3.27492420392
id_40,29.2610232919
id_41,7.14323752372
id_42,47.4941337732
id_43,26.9498877572
id_44,56.3905686855
id_45,40.0872681677
id_46,36.5552044402
id_47,24.3356574375
id_48,24.1083397004
id_49,58.8993593752
id_50,26.0647048245
id_51,47.7543105641
id_52,21.5288693036
id_53,32.4314756556
id_54,18.3176193261
id_55,38.1304696333
id_56,39.9294974338
id_57,26.5143186816
id_58,27.57019841
id_59,11.1254042718
id_60,58.2687875859
id_61,88.3220943787
id_62,36.6866732634
id_63,22.7972228479
id_64,14.2902653082
id_65,38.8021818636
id_66,39.2727695898
id_67,11.202724053
id_68,51.8652234057
id_69,6.3704388555
id_70,17.17087381
id_71,20.6850714706
id_72,29.0167993263
id_73,16.0305142386
id_74,48.1366507096
id_75,65.3621752885
id_76,7.69361523305
id_77,36.7529130017
id_78,76.5331455023
id_79,43.9699007371
id_80,49.6186611282
id_81,23.5055263548
id_82,13.9760183619
id_83,40.8036111
id_84,13.8526149611
id_85,13.4696120213
id_86,32.0509011844
id_87,90.488581268
id_88,30.6853792736
id_89,47.9586456337
id_90,16.993031819
id_91,65.6338323116
id_92,57.7624774195
id_93,9.10216699687
id_94,22.7274607139
id_95,25.5187867397
id_96,23.0308921241
id_97,3.15111056033
id_98,14.9835411708
id_99,35.4309571475
id_100,22.8939583385
id_101,49.0881242301
id_102,31.0489710414
id_103,35.075910195
id_104,32.286503243
id_105,27.0027848849
id_106,18.1792354305
id_107,38.3945269558
id_108,10.0518370808
id_109,71.3971201136
id_110,30.6095161363
id_111,70.7307515615
id_112,21.8745859025
id_113,26.6839685646
id_114,27.216819473
id_115,35.470349152
id_116,35.7045271357
id_117,22.3935540529
id_118,29.1136209358
id_119,46.5871216071
id_120,25.0097486824
id_121,33.9776060656
id_122,69.4451589556
id_123,6.85386075212
id_124,37.0014606206
id_125,5.17010137479
id_126,31.3592904633
id_127,17.3221359033
id_128,26.398783508
id_129,48.8481053346
id_130,7.34670966845
id_131,50.7527002364
id_132,20.0750441931
id_133,6.27415707585
id_134,23.4859096615
id_135,31.1979010028
id_136,71.9454884294
id_137,92.6322053008
id_138,26.767529273
id_139,56.0520215598
id_140,77.2734934705
id_141,16.6647381651
id_142,44.4799334747
id_143,29.8608332232
id_144,32.0779273378
id_145,13.5701736282
id_146,31.7998885027
id_147,44.6068312748
id_148,30.9378170962
id_149,17.1345483467
id_150,44.703629457
id_151,38.6577419354
id_152,57.4454937746
id_153,24.2182359904
id_154,11.6955528513
id_155,61.0487085474
id_156,14.30484838
id_157,25.7959291347
id_158,44.9463470839
id_159,23.5092227302
id_160,14.5961395213
id_161,103.486766936
id_162,54.4392175785
id_163,35.7993583625
id_164,38.5407839632
id_165,33.7666056509
id_166,55.8929466891
id_167,54.6644836975
id_168,12.0968320002
id_169,23.9574985048
id_170,31.4781323912
id_171,30.4480402187
id_172,26.0249510064
id_173,40.2009768892
id_174,94.5748966313
id_175,51.1325028027
id_176,19.6736144889
id_177,28.0816786999
id_178,64.3143329864
id_179,27.7473930823
id_180,13.8598691811
id_181,28.1611701546
id_182,23.9835704562
id_183,32.1973476122
id_184,12.165656485
id_185,39.2673921117
id_186,35.5263410989
id_187,46.00191952
id_188,73.6967198949
id_189,57.8613899826
id_190,7.35209135195
id_191,25.3294254915
id_192,18.3491390899
id_193,32.2744504354
id_194,27.0473902297
id_195,15.8823231795
id_196,14.4909719795
id_197,14.7315281537
id_198,22.9844703465
id_199,14.0823669573
id_200,10.0644514198
id_201,26.7630425738
id_202,32.7385867112
id_203,73.5634960641
id_204,28.9019001277
id_205,18.3288427413
id_206,60.3991994425
id_207,49.1605790567
id_208,23.3325730375
id_209,28.6199358862
id_210,51.0518783988
id_211,33.540671295
id_212,31.148602581
id_213,45.2210630512
id_214,11.4542590162
id_215,5.28050544698
id_216,51.2680780218
id_217,6.99029967945
id_218,32.0308552386
id_219,92.1594536647
id_220,50.1187691782
id_221,19.0794121482
id_222,38.5524565209
id_223,90.5650413338
id_224,29.2061085052
id_225,18.9271773174
id_226,15.3417239929
id_227,48.5152697683
id_228,35.9975754565
id_229,29.9090850602
id_230,8.68907720657
id_231,30.6973140237
id_232,12.2823277376
id_233,33.2505611313
id_234,63.503847315
id_235,20.2055656905
id_236,13.9558630857
id_237,16.2549100013
id_238,14.389152466
id_239,30.4462355149
id_240,27.251893034
id_241,76.6328837335
id_242,36.9864867774
id_243,30.2208907398
id_244,59.5737943772
id_245,43.7381077679
id_246,42.9078971048
id_247,46.079362812
id_248,21.7445790863
id_249,5.93618367813
id_250,14.3836123847
id_251,39.9935542284
id_252,14.099374942
id_253,25.342716183
id_254,20.2135136709
id_255,32.261553801
id_256,38.228305548
id_257,4.54443212546
id_258,30.6519229807
id_259,37.4911424323
